uuid,code_menage,nom_chef,commune,date_enquete,enqueteur,satisfaction,delai_reception_jours,montant_recu_htg,utilisation_principale,connait_mecanisme_plainte,score_fcs,score_rcsi,telephone,gps_latitude,gps_longitude,duree_entretien_min
uuid:000024-acted,MEN-00704,Cadet,DESSALINES,2026-01-23,ENQ05 Nadege Augustin,5,9,12000,Agriculture,oui,41.7,17,+50934206677,19.56461,-72.55401,31
uuid:000351-acted,MEN-00602,Cadet,Gros-Morne,2025-10-19,ENQ03 Fabiola Cheri,4,14,6000,Nourriture,oui,51.8,25,+50944901264,19.1986,-72.60288,43
uuid:000065-acted,MEN-00464,Duverger,Gros-Morne,2025-12-23,ENQ02 Kervens Sanon,5,7,9000,Autre,non,18.8,14,+50940575758,18.60487,-72.05592,29
uuid:000474-acted,MEN-00195,Belizaire,Gonaive,27/02/2026,ENQ05 Nadege Augustin,2,12,9000,Nourriture,non,26.9,8,+50946455509,18.83637,-72.63565,24
uuid:000056-acted,MEN-00591,Pierre,Port-au-Prince,2025-11-13,ENQ06 Josue Belizaire,4,1,7500,Logement,oui,26.9,23,+50946788339,19.59131,-72.59207,45
uuid:000415-acted,MEN-00475,Noel,Gonaive,2026-03-30,ENQ02 Kervens Sanon,4,0,5250,Dette,oui,44.0,7,n/a,18.68413,-73.93617,20
uuid:000233-acted,MEN-00198,Lafleur,st marc,2025-10-26,ENQ03 Fabiola Cheri,4,7,7500,Sante,non,32.2,1,+50945688225,19.67381,-72.80157,24
uuid:000336-acted,MEN-01025,Casseus,Mirebalais,2025-11-21,ENQ03 Fabiola Cheri,4,14,7500,Nourriture,oui,56.1,11,+50934359167,,,34
uuid:000223-acted,MEN-01154,Fils-Aime,Port-au-Prince,2025-12-02,ENQ05 Nadege Augustin,5,19,7000,Nourriture,non,18.9,19,+50930707849,19.72993,-72.13143,28
uuid:000226-acted,MEN-00441,Sanon,Croix-des-Bouquets,2025-11-04,ENQ02 Kervens Sanon,4,5,7500,Sante,oui,29.2,18,+50940490399,19.03674,-72.94085,17
uuid:000069-acted,MEN-00236,Moise,DESSALINES,2025-11-01,ENQ01 Mirlande Delva,4,12,12000,Nourriture,oui,42.6,26,+50930379910,19.11606,-72.78813,32
uuid:000383-acted,MEN-00272,Michel,St-Marc,2025-10-06,ENQ04 Wisly Dorvil,5,4,7500,Education,non,29.6,0,50937,18.68365,-74.12111,39
uuid:000389-acted,MEN-00482,Belizaire,Verrettes,2025-11-27,ENQ06 Josue Belizaire,4,5,12000,Sante,oui,32.2,7,+50930878276,18.64599,-73.50347,44
uuid:000367-acted,MEN-00895,Etienne,Cap-Haitien,2025-11-06,ENQ01 Mirlande Delva,N/A,14,7500,Nourriture,non,32.2,28,+50942829949,19.45626,-73.33891,13
uuid:000214-acted,MEN-01083,Charles,Verrettes,2025-09-05,ENQ01 Mirlande Delva,4,14,9000,Logement,oui,30.7,16,+50947944762,18.71197,-72.01465,29
uuid:000457-acted,MEN-00894,Beauvoir,Mirebalais,2026-03-05,ENQ03 Fabiola Cheri,3,18,6000,Nourriture,oui,39.5,18,3712-4498,19.69977,-73.2016,28
uuid:000171-acted,MEN-01184,Toussaint,SAINT MARC,2025-11-05,ENQ03 Fabiola Cheri,2,7,6000,Nourriture,non,29.8,16,+50937360941,18.81014,-73.44493,28
uuid:000368-acted,MEN-00727,Michel,DESSALINES,2025-09-29,ENQ06 Josue Belizaire,4,4,9000,Sante,non,18.7,13,+50945031363,18.45505,-73.71455,18
uuid:000567-acted,MEN-01039,Duverger,Mirebalais,2025-10-21,ENQ04 Wisly Dorvil,3,10,7500,Nourriture,non,26.8,9,+50932686013,19.12284,-72.67679,24
uuid:000240-acted,MEN-00703,Georges,Mirebalais,2026-01-16,ENQ01 Mirlande Delva,4,18,4000,Nourriture,oui,24.3,13,+50939297919,18.7684,-72.20416,39
uuid:000446-acted,MEN-00875,Delva,St-Marc,2025-10-26,ENQ05 Nadege Augustin,3,15,9000,Dette,non,56.1,16,+50933320210,,,18
uuid:000327-acted,MEN-00307,Delva,st marc,2025-09-20,ENQ04 Wisly Dorvil,3,13,12000,Sante,non,41.4,19,+50946832076,,,20
uuid:000038-acted,MEN-00575,Augustin,SAINT MARC,12-27-2025,ENQ05 Nadege Augustin,2,4,7500,Nourriture,non,0.0,19,+50945518872,19.03186,-72.84328,28
uuid:000441-acted,MEN-00285,Noel,Leogane,2025-10-10,ENQ03 Fabiola Cheri,3,4,12000,Agriculture,oui,34.9,15,50937,19.24349,-73.89553,27
uuid:000249-acted,MEN-00213,Belizaire,Gros-Morne,2026-02-07,ENQ03 Fabiola Cheri,4,3,6250,Nourriture,non,52.8,19,+50942297924,19.75102,-72.36653,37
uuid:000421-acted-bis,MEN-00088,Lherisson,Cap-Haitien,2025-11-09,ENQ05 Nadege Augustin,1,4,9000,Nourriture,oui,43.8,16,+50939884246,19.57933,-73.10103,26
uuid:000357-acted,MEN-00347,Michel,Port-au-Prince,2026-01-30,ENQ01 Mirlande Delva,4,8,12000,Agriculture,oui,32.7,21,+50947218675,19.64947,-74.08019,33
uuid:000518-acted,MEN-00728,Dorvil,Gros-Morne,2026-01-15,ENQ02 Kervens Sanon,3,7,7500,Nourriture,oui,43.0,19,+50944257801,18.71426,-72.59659,29
uuid:000426-acted,MEN-00064,Casseus,Mirebalais,2025-11-17,ENQ06 Josue Belizaire,5,14,12000,Nourriture,oui,31.4,21,+50934102272,19.01202,-73.07072,35
uuid:000154-acted,MEN-00049,Dorvil,Verrettes,2026-03-20,ENQ04 Wisly Dorvil,4,8,7500,Nourriture,oui,32.5,11,+50935220149,19.02013,-72.00499,37
uuid:000211-acted,MEN-00547,Desir,Gonaive,2026-01-05,ENQ03 Fabiola Cheri,4,16,7500,Nourriture,non,58.7,19,+50936444062,19.74967,-73.76663,25
uuid:000111-acted,MEN-01181,Moise,Mirebalais,2025-10-10,ENQ02 Kervens Sanon,2,13,9000,Nourriture,oui,38.7,15,+50947091423,19.28575,-73.71888,31
uuid:000173-acted,MEN-00906,Noel,Mirebalais,2026-03-18,ENQ02 Kervens Sanon,2,13,9000,Sante,non,28.6,32,+50938784453,18.46921,-73.82548,42
uuid:000132-acted,MEN-00043,Louis,Cap-Haitien,2025-09-10,ENQ02 Kervens Sanon,4,10,12000,Dette,oui,8.3,13,+50930187752,19.49563,-72.30249,28
uuid:000158-acted,MEN-00004,Louis,Croix-des-Bouquets,2025-10-16,ENQ03 Fabiola Cheri,4,14,9000,Education,oui,34.3,17,+50938110526,18.41322,-73.41781,30
uuid:000160-acted,MEN-01049,Charles,Croix-des-Bouquets,2025-12-06,ENQ02 Kervens Sanon,3,16,8750,Nourriture,non,44.1,10,+50937659099,18.67254,-72.87653,23
uuid:000515-acted,MEN-00015,Moise,Gros-Morne,2025-09-07,ENQ06 Josue Belizaire,5,16,"9,000",Nourriture,non,36.0,3,+50945290326,19.07658,-72.87461,31
uuid:000417-acted,MEN-00101,Moise,Port-au-Prince,2026-01-07,ENQ03 Fabiola Cheri,3,6,9000,Nourriture,non,33.4,16,n/a,19.35818,-72.17842,30
uuid:000080-acted,MEN-00813,Cheri,Gros-Morne,2026-03-20,ENQ05 Nadege Augustin,2,12,"9,000",Nourriture,non,36.7,16,+50941863481,19.11581,-72.16925,37
uuid:000232-acted,MEN-00378,Cadet,St-Marc,2025-09-04,ENQ04 Wisly Dorvil,4,13,12000,Sante,oui,39.1,25,+50948778757,18.77537,-74.08154,35
uuid:000549-acted,MEN-00477,Georges,DESSALINES,2026-03-21,ENQ06 Josue Belizaire,4,19,12000,Nourriture,non,38.3,7,+50935141813,18.74677,-72.26851,24
uuid:000011-acted,MEN-00508,Lafleur,Gros-Morne,2025-09-11,ENQ01 Mirlande Delva,1,18,6000,Nourriture,oui,52.7,5,+50941359344,19.47565,-73.99572,20
uuid:000394-acted,MEN-00076,Alexis,Saint-Marc,2025-11-14,ENQ01 Mirlande Delva,N/A,9,9000,Dette,non,34.8,17,+50945714242,18.45695,-73.23252,18
uuid:000555-acted,MEN-00631,Louis,Port-au-Prince,2025-10-08,ENQ01 Mirlande Delva,4,6,6000,Sante,oui,28.6,11,+50945387836,19.69639,-72.93626,26
uuid:000254-acted,MEN-00554,Michel,Mirebalais,2026-03-03,ENQ05 Nadege Augustin,4,11,7500,Dette,oui,46.0,10,+50942902995,18.7114,-72.43213,2
uuid:000238-acted,MEN-00511,Michel,Mirebalais,2025-10-05,ENQ05 Nadege Augustin,3,7,9000,Sante,oui,36.5,9,+50949449979,18.52328,-72.95445,19
uuid:000243-acted,MEN-00689,Etienne,Gros-Morne,2026-01-05,ENQ06 Josue Belizaire,4,6,7500,Nourriture,oui,33.1,27,+50937357717,18.57184,-73.27117,28
uuid:000007-acted,MEN-00900,Casseus,DESSALINES,2026-03-22,ENQ03 Fabiola Cheri,4,9,12000,Agriculture,oui,42.3,25,+50939376944,,,17
uuid:000403-acted,MEN-00842,Lafleur,Croix-des-Bouquets,2026-03-24,ENQ02 Kervens Sanon,5,2,6000,Nourriture,oui,37.7,26,+50946714131,19.67311,-72.85036,31
uuid:000166-acted,MEN-01029,Desir,Mirebalais,10-17-2025,ENQ03 Fabiola Cheri,3,7,"9,000",Nourriture,oui,48.1,13,+50940467726,19.68263,-72.16421,20
uuid:000310-acted,MEN-00073,Pierre,Mirebalais,2025-12-27,ENQ01 Mirlande Delva,2,10,9000,Dette,non,28.8,22,+50948333993,,,21
uuid:000539-acted,MEN-00946,Charles,St-Marc,14/12/2025,ENQ04 Wisly Dorvil,2,16,6000,Agriculture,non,41.7,15,+50945313359,18.88481,-73.45524,20
uuid:000005-acted,MEN-00481,Lherisson,Cap-Haitien,2026-02-17,ENQ04 Wisly Dorvil,1,11,7500,Agriculture,non,43.8,19,+50936522586,19.30507,-73.24977,25
uuid:000116-acted,MEN-00935,Lherisson,Gros-Morne,2025-11-22,ENQ01 Mirlande Delva,4,4,9000,Agriculture,oui,40.9,10,+50938617524,19.31454,-72.64657,38
uuid:000012-acted,MEN-01053,Fils-Aime,Mirebalais,2025-12-11,ENQ05 Nadege Augustin,5,3,6000,Sante,oui,34.6,10,+50940158622,18.67405,-72.32445,24
uuid:000565-acted,MEN-01087,Saint-Fleur,Croix-des-Bouquets,2025-12-18,ENQ02 Kervens Sanon,4,6,12000,Nourriture,non,20.6,15,+50944159056,19.09056,-73.02613,26
uuid:000095-acted,MEN-00729,Michel,Port-au-Prince,2025-12-11,ENQ01 Mirlande Delva,5,5,9000,Logement,non,31.6,14,50937,18.89029,-73.15723,39
uuid:000152-acted,MEN-00917,Etienne,SAINT MARC,2025-12-15,ENQ03 Fabiola Cheri,4,1,6000,Nourriture,non,18.8,35,+50932132013,18.57976,-73.13257,35
uuid:000315-acted-bis,MEN-00164,Alexis,Cap-Haitien,2026-03-10,ENQ02 Kervens Sanon,3,7,6000,Nourriture,oui,35.8,24,+50930190893,19.77592,-72.64304,28
uuid:000452-acted,MEN-01122,Jean-Baptiste,Mirebalais,2026-02-22,ENQ05 Nadege Augustin,3,13,9000,Nourriture,non,44.4,8,n/a,19.50833,-74.04045,32
uuid:000499-acted,MEN-00519,Louis,Leogane,2026-03-18,ENQ04 Wisly Dorvil,4,3,12000,Nourriture,oui,50.7,10,+50944451175,18.5084,-73.78755,23
uuid:000046-acted,MEN-00542,Charles,St-Marc,12-26-2025,ENQ04 Wisly Dorvil,3,1,7500,Autre,non,30.3,11,+50944083032,18.80056,-73.23927,37
uuid:000141-acted,MEN-00090,Dorvil,GONAIVES,2025-11-16,ENQ04 Wisly Dorvil,,5,6000,Nourriture,oui,42.0,13,+50933135400,19.68318,-73.46455,18
uuid:000328-acted,MEN-00751,Lherisson,Leogane,2026-01-25,ENQ05 Nadege Augustin,4,5,10250,Nourriture,oui,26.0,21,+50946567515,18.67654,-72.79208,23
uuid:000203-acted,MEN-00870,Michel,Leogane,2026-01-03,ENQ01 Mirlande Delva,5,2,6000,Education,non,49.1,18,+50939257063,18.41537,-73.01728,26
uuid:000556-acted,MEN-01095,Cheri,Croix-des-Bouquets,2025-12-02,ENQ05 Nadege Augustin,3,0,9 000,Nourriture,oui,47.0,14,+50942683007,18.86448,-74.01558,29
uuid:000307-acted,MEN-00087,Charles,Croix-des-Bouquets,2025-11-22,ENQ03 Fabiola Cheri,4,1,7500,Nourriture,non,45.4,25,+50949243893,18.65319,-73.28299,29
uuid:000165-acted,MEN-01142,Pierre,gonaives,2025-12-30,ENQ02 Kervens Sanon,4,16,6000,Nourriture,oui,30.2,17,+50944718265,19.76109,-74.02281,0
uuid:000350-acted,MEN-00502,Cheri,Gonaïves,2025-12-10,ENQ03 Fabiola Cheri,4,18,9 000,Education,oui,41.9,20,+50947249456,18.86401,-73.6358,21
uuid:000088-acted,MEN-00366,Estime,Mirebalais,01-10-2026,ENQ05 Nadege Augustin,4,18,6000,Nourriture,non,34.6,17,+50933500962,18.89245,-72.73357,20
uuid:000374-acted,MEN-00569,Cadet,Port-au-Prince,2025-10-14,ENQ03 Fabiola Cheri,4,7,9000,Agriculture,oui,51.4,21,+50931366243,18.82347,-72.7269,24
uuid:000093-acted,MEN-00434,Augustin,Gros-Morne,2025-10-08,ENQ02 Kervens Sanon,5,3,9000,Education,non,30.8,18,+50942504964,,,44
uuid:000228-acted,MEN-00649,Noel,Gros-Morne,2025-10-30,ENQ02 Kervens Sanon,2,4,12000,Education,oui,40.2,21,+50942404466,,,35
uuid:000354-acted,MEN-00699,Alexis,Gonaive,2026-02-28,ENQ04 Wisly Dorvil,5,17,7500,Dette,non,63.7,16,+50945260182,19.72538,-72.45202,19
uuid:000278-acted,MEN-00229,Sanon,Leogane,2025-11-25,ENQ01 Mirlande Delva,,10,6000,Nourriture,oui,22.9,17,+50946236834,19.04783,-72.73313,43
uuid:000151-acted,MEN-00348,Joseph,Mirebalais,2025-12-25,ENQ01 Mirlande Delva,3,5,12000,Sante,oui,33.6,14,+50942836007,19.18234,-73.61924,39
uuid:000105-acted,MEN-00864,Cheri,Gonaive,2026-03-16,ENQ04 Wisly Dorvil,5,5,9000,Dette,non,34.9,12,+50948171565,18.87226,-73.03007,21
uuid:000250-acted,MEN-01196,Louis,Verrettes,2025-09-26,ENQ05 Nadege Augustin,4,10,9000,Nourriture,non,33.0,13,+50933822672,19.54804,-74.10042,39
uuid:000424-acted,MEN-00745,Michel,Port-au-Prince,2025-11-30,ENQ05 Nadege Augustin,5,10,9000,Education,non,54.7,14,+50943501647,19.5026,-72.83718,21
uuid:000051-acted,MEN-00669,Etienne,Cap-Haitien,2025-10-16,ENQ01 Mirlande Delva,5,6,9000,Sante,oui,53.2,27,+50937970486,18.48202,-73.48938,26
uuid:000045-acted,MEN-00299,Saint-Fleur,Mirebalais,2026-03-06,ENQ02 Kervens Sanon,4,12,7500,Nourriture,oui,45.6,18,+50934632527,19.21248,-72.68703,21
uuid:000227-acted,MEN-01003,Etienne,Verrettes,2025-12-26,ENQ03 Fabiola Cheri,5,11,6000,Nourriture,oui,37.7,24,+50932584810,18.57155,-72.21358,39
uuid:000312-acted,MEN-00338,Dorvil,Cap-Haitien,2026-03-02,ENQ06 Josue Belizaire,4,10,7500,Nourriture,oui,59.3,18,+50943923460,18.77292,-72.38156,44
uuid:000074-acted,MEN-00773,Cheri,Verrettes,2025-10-13,ENQ05 Nadege Augustin,5,11,12000,Dette,non,38.7,0,+50936551278,19.12836,-72.61066,36
